TM_DRIVERID,TM_REGISTRATION_NUMBER,COMPANY_CODE,VEHICLE_TYPE_DESCRIPTION,PRODUCT_CODE,FUEL_TYPE,MAX_SPEED,NO_OF_HARSH_BRAKES,NO_OF_HARSH_ACCELERATION,NO_OF_SPEED_VIOLATIONS,NO_EXCESS_IDLE,NO_OF_TRIPS,ENGINE_CAPACITY,FUEL_CONSUMPTION,NUMBER_OF_GEARS,RENTAL,KM_DRIVEN,PROJECTED_EXCESS_KM_CHARGE,SPEED_PENALTY_POINTS,SPEEDING_TIME_SECONDS,DRIVING_TIME,total_time_driven,TM_SCORE,Num_times_yawned,Num_times_Angry,Num_times_sleepy,cluster
0, HXW293MP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,143,7,13,63,41,214,2393,7.269999999999999,6,12408.51,2018.98,0.0,83.6,1009.4,2021.6,62,72.717186,8,11,10,4
0,(CMT03) CA182160,RSA,TRUCK HEAVY,FM,DIESEL,97,0,0,0,0,35,9726,0.0,5,185.02,1035.04,0.0,0.0,0.0,2226.4,100,93.12313,1,2,2,1
0,(GETZ 116) CY71838,RSA,PASS ALL(EXCL D/CAB),FM,PETROL,152,8,12,22,17,130,1599,9.96,5,185.02,1886.1,0.0,36.4,369.8,1509.6,46,79.88027199999999,7,10,9,2
0,(NVL188) CA347577,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,167,6,0,114,1,229,2494,9.6,5,6272.65,3328.06,11782.31,256.6,1807.0,2140.8,62,77.504462,9,11,11,4
0,(NVL189) CA734057,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,162,5,1,84,10,275,2494,9.6,5,6263.53,3987.12,17633.95,137.4,1301.8,2150.4,95,71.600656,10,12,11,4
0,(NVL190) CA857305,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,163,13,0,645,5,229,2494,9.6,5,6798.188,5637.58,24321.79,1295.4,9750.6,2450.4,123,59.71472200000001,13,17,17,0
0,(NVL203) CA726791,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,182,18,9,419,410,346,2198,6.8,6,6842.85,4980.98,8737.49,751.0,6484.2,2865.6,169,64.83414400000001,10,13,12,0
0,(NVL205) CA724822,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,177,77,138,173,293,169,2198,6.8,6,9629.281353499999,2945.0225,14630.8,410.5,2786.5,1836.0,103,50.408024999999995,8,11,9,0
0,(NVL208) CA498868,RSA,LIGHT COMMERCIAL VEHICLE,FML,PETROL,136,5,4,0,14,58,1389,7.2,5,4829.78,543.5,0.0,0.4,8.4,1816.8,12,91.18081600000001,7,10,9,2
0,(NVL211) CA965233,RSA,PANEL VAN - MEDIUM,FML,DIESEL,137,8,14,1,50,159,2500,8.3,5,9443.41,2336.15,0.0,1.5,22.25,2437.0,54,86.4089675,9,11,12,4
