,FR,FL,RR,RL
2016-04-20 06:27:00.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:00.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:01.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:02.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:03.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:04.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.000,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.100,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.200,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.300,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.400,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.500,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.600,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.700,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.800,0.0,0.0,0.0,0.0
2016-04-20 06:27:05.900,0.0,0.0,0.0,0.0
2016-04-20 06:27:06.000,0.0,0.0,0.0,0.0
